"Designator","Comment","Footprint","JLCPCB Part Number"
"U4","ESP32-C3-WROOM-02","RF_Module:ESP32-C3-WROOM-02","C2944070"
"U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C5181460"
"U2","LIS2MDL","Package_LGA:LGA-12_2x2mm_P0.5mm","C919695"
"U1","LSM6DSL","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","C126672"
"BOOT,EN","SW_Push","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","C22362989"
"R8,R9","2.2kR","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17520"
"R7","100R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17408"
"R4,R5","5.1kR","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C26023"
"R2,R3,R6","10kR","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"R1","270R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17590"
"J5","GPIO1","N/A","N/A"
"J4","GPIO0","N/A","N/A"
"J2,J3","JST_PH2.0_01x04","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","C157926"
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","C393939"
"FB1","FerriteBead_Small","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","C424242"
"D4,D5","D_TVS1","Diode_SMD:D_SOD-323_HandSoldering","C460442"
"D3","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84256"
"D2","D_TVS0","Diode_SMD:D_SMB","C83323"
"D1","D_Schottky","Diode_SMD:D_SOD-123F","C669023"
"C10","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C5422"
"C5,C9","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C29277"
"C4,C12","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1713"
"C3","220nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1770"
"C1,C2,C6,C7,C8,C11,C13,C14","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28378"
